epoch,accuracy,loss,val_accuracy,val_loss
0,0.359258234500885,1.335684895515442,0.4121037423610687,1.2980436086654663
1,0.6249654293060303,1.0264015197753906,0.6685879230499268,0.939876139163971
2,0.7902020215988159,0.6054181456565857,0.7031700015068054,0.8057034611701965
3,0.8416827917098999,0.42973455786705017,0.6858789920806885,0.7868049740791321
4,0.8751729726791382,0.34272417426109314,0.6945244669914246,0.7971668839454651
5,0.9014669060707092,0.27965378761291504,0.6887608170509338,0.8434309363365173
6,0.9272072911262512,0.23083128035068512,0.6858789920806885,0.9043058753013611
7,0.9330196380615234,0.20084257423877716,0.6772334575653076,0.9847639799118042
8,0.9446443319320679,0.1701384335756302,0.6685879230499268,1.0427435636520386
9,0.9551619291305542,0.14954109489917755,0.6916426420211792,1.1235204935073853
10,0.9629117250442505,0.1302289068698883,0.6858789920806885,1.119293212890625
11,0.9640188217163086,0.11574157327413559,0.6916426420211792,1.201609492301941
12,0.9673401713371277,0.11328433454036713,0.6772334575653076,1.2361656427383423
13,0.971491813659668,0.09839000552892685,0.6714697480201721,1.2562365531921387
14,0.9703847169876099,0.09382765740156174,0.6772334575653076,1.2957862615585327
15,0.9723221659660339,0.08745596557855606,0.6685879230499268,1.3237472772598267
16,0.9745364189147949,0.0842791348695755,0.6657060384750366,1.3643827438354492
17,0.9739828109741211,0.08264672756195068,0.6570605039596558,1.3741172552108765
18,0.9773041605949402,0.0737200453877449,0.6829971075057983,1.4253004789352417
19,0.9761970639228821,0.06836346536874771,0.6743515729904175,1.4431084394454956
20,0.975643515586853,0.07069872319698334,0.6858789920806885,1.4557034969329834
21,0.9748131632804871,0.06994791328907013,0.6714697480201721,1.4453686475753784
22,0.9786880612373352,0.05887492746114731,0.6685879230499268,1.5301042795181274
23,0.9767506122589111,0.06223919242620468,0.6743515729904175,1.5125463008880615
24,0.9773041605949402,0.0621577687561512,0.6628242135047913,1.549791693687439
